"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-18","0.00","0.0","0.0","82","92","73"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-19","0.00","0.0","0.0","82","91","73"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-20","0.73","0.0","0.0","80","87","71"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-21","0.00","0.0","0.0","76","86","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-22","0.44","0.0","0.0","74","82","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-23","0.00","0.0","0.0","75","84","60"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-24","0.00","0.0","0.0","64","74","52"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-25","0.00","0.0","0.0","64","77","52"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-26","0.00","0.0","0.0","67","79","54"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-27","0.03","0.0","0.0","70","77","53"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-28","0.00","0.0","0.0","60","69","50"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-29","0.00","0.0","0.0","62","74","50"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-30","0.00","0.0","0.0","65","78","53"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-07-31","0.01","0.0","0.0","69","71","65"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-01","0.34","0.0","0.0","69","79","60"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-02","3.59","0.0","0.0","65","82","54"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-03","0.16","0.0","0.0","70","81","59"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-04","0.00","0.0","0.0","66","77","54"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-05","0.00","0.0","0.0","66","75","57"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-06","0.00","0.0","0.0","69","78","62"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-07","0.00","0.0","0.0","75","83","69"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-08","0.02","0.0","0.0","72","74","69"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-09","0.00","0.0","0.0","73","81","67"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-10","0.15","0.0","0.0","73","84","64"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-11","0.00","0.0","0.0","71","82","61"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-12","0.00","0.0","0.0","72","83","62"
"USW00014827","FORT WAYNE INTERNATIONAL AIRPORT, IN US","2013-08-13","0.00","0.0","0.0","68","72","54"
